0.2	1.6	4.0	7.8	12.4	19.1	26.7	39.1	56.1	77.2	100.7	132.6	165.2	205.6	256.9	306.1	367.5	408.5	432.2	446.5	471.5	444.4	454.4	453.0	460.7	442.8	421.6	417.2	382.9	379.5	351.3	326.2	289.5	244.1	207.1	160.1	131.2	104.8	79.5	63.5	48.6	35.6	26.2	16.9	11.8	7.9	5.9	3.6	2.2
-0.6	0.7	2.4	4.5	9.2	13.1	20.4	28.5	40.3	57.9	78.9	101.3	124.9	160.5	193.8	225.9	271.0	307.5	345.5	377.9	394.5	390.6	399.3	399.5	394.9	386.5	365.6	353.2	337.6	311.5	290.7	253.4	220.3	183.2	150.1	119.9	103.1	82.4	63.4	50.9	35.4	25.3	18.3	12.5	9.3	6.3	4.2	2.4	2.3
-1.8	-0.9	1.5	4.0	5.1	10.2	15.1	21.6	30.6	42.3	56.7	75.6	94.9	115.4	146.0	169.9	192.2	218.5	251.7	284.4	306.1	312.2	333.6	317.9	328.7	313.0	312.2	285.9	262.0	241.5	217.5	183.9	159.2	131.5	110.7	94.8	80.1	62.9	48.9	36.5	26.3	19.6	13.9	10.1	7.2	5.4	3.6	2.1	1.0
-2.1	-0.5	0.5	2.4	3.8	7.7	10.3	15.8	20.7	29.1	39.5	54.5	68.4	85.0	105.8	122.7	139.0	157.0	180.8	198.3	223.2	231.8	243.2	239.6	243.6	237.4	227.9	207.6	191.4	172.7	153.2	138.2	117.1	97.9	85.0	74.3	71.8	50.4	35.8	26.1	19.0	14.7	10.9	8.8	5.4	3.4	2.5	1.4	0.8
-2.3	-1.4	-0.9	1.2	2.3	4.7	6.6	10.7	14.5	19.3	27.0	36.8	49.0	62.6	77.0	93.1	101.2	116.7	129.7	144.0	157.9	158.7	165.4	170.8	170.4	164.5	160.6	150.6	139.1	126.7	111.5	97.2	88.6	73.2	63.6	52.3	44.9	35.9	24.8	17.7	13.4	11.2	7.9	5.6	3.8	2.1	1.9	1.0	-0.1
-2.6	-2.4	-1.3	-0.4	0.6	2.8	3.7	7.4	8.9	12.4	20.3	25.8	33.6	40.3	53.3	63.3	76.4	85.2	93.7	102.7	109.0	113.3	115.9	119.0	117.6	115.6	112.3	106.4	100.0	91.8	82.6	70.6	63.1	56.2	45.5	37.5	29.7	23.1	17.9	12.4	9.6	7.8	5.7	3.9	1.9	1.3	0.5	0.2	-0.2
-3.3	-2.8	-2.6	-1.3	-0.3	1.0	1.8	4.4	6.4	8.2	12.7	18.1	21.9	27.6	36.9	41.8	50.9	58.6	66.4	72.7	78.3	81.2	85.9	85.5	85.9	83.6	78.8	76.5	71.1	67.9	60.5	50.6	45.6	37.8	31.1	25.4	20.2	15.0	12.0	9.2	7.2	4.6	3.0	2.4	1.8	0.5	-0.1	-0.3	-0.2
-3.7	-3.2	-3.0	-1.8	-1.2	-0.4	0.3	2.2	3.3	5.1	8.1	12.0	14.9	17.7	23.1	26.5	33.3	40.0	45.3	47.9	52.8	58.4	59.7	61.3	60.1	58.6	55.5	53.2	51.1	47.0	39.9	35.8	31.5	25.4	21.1	16.6	14.1	10.2	7.6	6.4	4.5	2.9	2.5	1.9	0.4	0.3	-0.7	-0.8	-1.2
-3.7	-3.5	-2.5	-2.4	-1.0	-1.1	-0.4	0.7	1.1	3.8	4.5	6.5	8.7	11.6	14.6	16.7	20.6	24.8	27.1	30.4	33.8	37.5	39.4	38.5	41.2	40.5	37.4	35.8	32.2	29.5	26.2	22.6	20.8	16.7	14.0	10.9	10.1	8.0	5.4	3.5	2.3	2.0	1.5	1.4	0.4	-0.0	0.1	-0.9	-0.2
-3.8	-3.4	-2.9	-1.5	-1.2	-2.0	-1.6	-0.4	-0.1	1.5	3.5	3.9	5.0	6.1	9.3	11.3	13.2	16.1	18.3	19.5	22.0	23.8	23.9	24.7	26.8	26.1	25.1	23.8	21.7	18.8	17.7	14.2	14.6	11.8	9.3	7.0	6.0	5.4	3.8	2.0	1.1	0.5	0.5	0.2	-0.6	-0.7	-0.7	-1.4	-1.0
-3.8	-3.8	-2.9	-2.8	-3.1	-2.4	-2.5	-0.8	-0.7	0.0	1.3	1.9	3.1	3.3	5.1	7.0	7.7	9.8	11.9	12.5	14.3	14.6	15.0	15.6	15.8	16.6	15.1	14.4	13.3	12.7	11.2	9.3	9.3	8.1	5.6	5.1	3.8	2.4	1.8	1.0	0.6	0.1	-0.4	-0.1	-0.8	-0.8	-1.0	-1.3	-0.3
-3.9	-3.7	-3.0	-2.8	-3.0	-2.2	-2.4	-1.7	-1.9	-1.8	0.6	0.2	1.2	2.0	2.9	2.8	4.6	5.9	6.6	7.6	7.9	9.3	9.6	9.3	10.6	10.2	9.9	8.5	8.7	8.4	6.8	6.0	5.7	4.2	3.6	3.4	1.7	1.3	0.8	-0.3	0.4	0.2	-0.9	-1.4	-0.8	-1.7	-1.9	-1.8	-1.5
